PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived,FamilySize,IsAlone,Title,Cabin_letter,Cabin_impact,Ticket_impact,Last_name_impact,Other_last_name_impact,Ticket_first_impact,Ticket_second_impact,AgeIsBad
888,1,female,19.0,0,0,30.0,S,1,1,1,Miss,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,1,male,55.0,0,0,30.5,S,0,1,1,Mr,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,3,male,32.0,0,0,7.925,S,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,3,male,3.0,4,2,31.3875,S,1,5+,0,Master,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
860,3,male,26.593095238095238,0,0,7.2292,C,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
364,3,male,35.0,0,0,7.05,S,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.22314292,0.0,0.0
881,2,female,25.0,0,1,26.0,S,1,2,0,Mrs,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,2,female,41.0,0,1,19.5,S,1,2,0,Mrs,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,1,male,32.0,0,0,30.5,C,1,1,1,Dr,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,3,female,23.62892857142857,0,0,7.75,Q,1,1,1,Miss,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
460,3,male,42.25785714285714,0,0,7.75,Q,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
685,2,male,60.0,1,1,39.0,S,0,3,0,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
760,1,female,33.0,0,0,86.5,S,1,1,1,Rare,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,3,female,28.0,1,1,14.4,S,0,3,0,Mrs,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517,2,female,34.0,0,0,10.5,S,1,1,1,Mrs,F,0.0,0.0,0.0,0.0,0.0,0.0,0.0
697,3,male,44.0,0,0,8.05,S,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,3,male,27.9,0,0,56.4958,S,1,1,1,Mr,,0.0,10.12668,0.0,0.0,0.0,10.12668,1.0
242,3,female,18.295714285714286,1,0,15.5,Q,1,2,0,Miss,,0.0,9.433583,9.433583,0.0,0.0,9.433583,1.0
408,2,male,3.0,1,1,18.75,S,1,3,0,Master,,0.0,9.433583,9.433583,0.0,0.0,9.433583,0.0
552,2,male,27.0,0,0,26.0,S,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
861,3,male,41.0,2,0,14.1083,S,0,3,0,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,3,male,28.0,1,0,15.85,S,0,2,0,Mr,,0.0,0.0,0.0,0.0,9.433583,0.0,0.0
618,3,female,26.0,1,0,16.1,S,0,2,0,Mrs,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,2,male,30.0,0,0,13.0,S,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357,1,female,22.0,0,1,55.0,S,1,2,0,Miss,E,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,3,female,16.1,2,0,23.25,Q,1,3,0,Miss,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
246,1,male,44.0,2,0,90.0,Q,0,3,0,Dr,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,3,male,29.0,0,0,7.8958,C,1,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,3,male,42.25785714285714,0,0,7.75,Q,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
756,2,male,0.67,1,1,14.5,S,1,3,0,Master,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,1,female,50.0,0,0,28.7125,C,0,1,1,Miss,C,0.0,0.0,0.0,0.0,1.1394037,0.0,0.0
683,3,male,20.0,0,0,9.225,S,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,3,male,20.0,0,0,4.0125,C,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
789,3,male,1.0,1,2,20.575,S,1,4,0,Master,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563,2,male,28.0,0,0,13.5,S,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,1,male,30.0,0,0,27.75,C,0,1,1,Mr,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,2,male,42.0,0,0,13.0,S,0,1,1,Rev,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838,3,male,32.02642634177417,0,0,8.05,S,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
397,3,female,31.0,0,0,7.8542,S,0,1,1,Miss,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,2,female,50.0,0,0,10.5,S,1,1,1,Miss,,0.0,0.0,0.0,0.0,-8.987297,0.0,0.0
382,3,female,1.0,0,2,15.7417,C,1,3,0,Miss,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,1,female,22.0,1,0,66.6,S,1,2,0,Mrs,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866,2,female,42.0,0,0,13.0,S,1,1,1,Mrs,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
880,1,female,56.0,0,1,83.1583,C,1,2,0,Mrs,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
854,1,female,16.0,0,1,39.4,S,1,2,0,Miss,D,0.0,0.0,0.0,0.0,1.1394037,0.0,0.0
853,3,female,9.0,1,1,15.2458,C,0,3,0,Miss,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
326,1,female,36.0,0,0,135.6333,C,1,1,1,Miss,C,0.0,0.0,0.0,0.0,1.1394037,0.0,0.0
604,3,male,44.0,0,0,8.05,S,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
687,3,male,14.0,4,1,39.6875,S,0,5+,0,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,3,male,42.25785714285714,0,0,7.75,Q,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
403,3,female,21.0,1,0,9.825,S,0,2,0,Miss,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,3,female,29.3,1,0,16.1,S,1,2,0,Mrs,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
166,3,male,9.0,0,2,20.525,S,1,3,0,Master,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
889,3,female,6.534999999999999,1,2,23.45,S,0,4,0,Miss,,0.0,0.0,0.0,0.0,-8.987297,0.0,1.0
395,3,female,24.0,0,2,16.7,S,1,3,0,Mrs,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,1,male,49.0,1,0,89.1042,C,1,2,0,Mr,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0
294,3,female,24.0,0,0,8.85,S,0,1,1,Miss,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
873,1,male,33.0,0,0,5.0,S,0,1,1,Mr,B,0.0,0.0,-8.987297,0.0,0.0,0.0,0.0
322,3,male,27.0,0,0,7.8958,S,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,3,male,21.0,0,0,8.05,S,0,1,1,Mr,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,1,female,42.0,0,0,227.525,C,1,1,1,Miss,,0.0,9.433583,0.0,0.0,1.1394037,9.433583,0.0
851,3,male,4.0,4,2,31.275,S,0,5+,0,Master,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
